name,type,description,link,contact_email,status,discovered_date,drafted_date,notes
The Will Spencer Podcast,podcast,Hosted by Will Spencer — Society & Culture,https://podcasts.apple.com/us/podcast/the-will-spencer-podcast/id1533933447?uo=4,,ready,2026-09-25,,
Holy Smokes Men's Ministry Podcast,podcast,Hosted by holysmokesmen — Religion & Spirituality,https://podcasts.apple.com/us/podcast/holy-smokes-mens-ministry-podcast/id1736637896?uo=4,,ready,2026-09-25,,
Straight Truth Podcast,podcast,Hosted by Straight Truth Podcast — Christianity,https://podcasts.apple.com/us/podcast/straight-truth-podcast/id1350185009?uo=4,,ready,2026-09-25,,
Livin' The Bream Podcast,podcast,Hosted by FOX News Podcasts — News,https://podcasts.apple.com/us/podcast/livin-the-bream-podcast/id1195622438?uo=4,,ready,2026-09-25,,Not a fit — Fox News politics/sports commentary show.
Second Chance Church Podcast,podcast,Hosted by Second Chance Church — Christianity,https://podcasts.apple.com/us/podcast/second-chance-church-podcast/id1339776817?uo=4,,ready,2026-09-25,,
Stonebridge Bible Church Sermons,podcast,Hosted by Stonebridge Bible Church — Christianity,https://podcasts.apple.com/us/podcast/stonebridge-bible-church-sermons/id1559402404?uo=4,,ready,2026-09-25,,
Wonder Lake Bible Church,podcast,Hosted by Wonder Lake Bible Church — Christianity,https://podcasts.apple.com/us/podcast/wonder-lake-bible-church/id306930489?uo=4,,ready,2026-09-25,,
"Journey Bible Fellowship - Leander, Texas",podcast,"Hosted by Journey Bible Fellowship - Leander, Texas — Christianity",https://podcasts.apple.com/us/podcast/journey-bible-fellowship-leander-texas/id1767729207?uo=4,,ready,2026-09-25,,
Broadway Baptist Church,podcast,"Hosted by Broadway Baptist Church in Lexington, Kentucky - Pastor Daniel Ausbun preaches from the CSB. A Southern Baptist congregation in Lexington, KY. — Religion & Spirituality",https://podcasts.apple.com/us/podcast/broadway-baptist-church/id1302964154?uo=4,,ready,2026-09-25,,
Immanuel Bible Church,podcast,Hosted by Immanuel Bible Church — Religion & Spirituality,https://podcasts.apple.com/us/podcast/immanuel-bible-church/id1715359504?uo=4,,ready,2026-09-25,,
Paul Offin Bible Class,podcast,Hosted by Paul Offin Bible Class — Christianity,https://podcasts.apple.com/us/podcast/paul-offin-bible-class/id1522758996?uo=4,,ready,2026-09-25,,
True to the Bible,podcast,Hosted by TTTB — Christianity,https://podcasts.apple.com/us/podcast/true-to-the-bible/id1547501412?uo=4,,ready,2026-09-25,,
Daily Bible Podcast,podcast,Hosted by Daily Bible Pod Coffee Club — Christianity,https://podcasts.apple.com/us/podcast/daily-bible-podcast/id1818867658?uo=4,,ready,2026-09-25,,
Teach Me The Bible,podcast,Hosted by Dr. David Klingler — Christianity,https://podcasts.apple.com/us/podcast/teach-me-the-bible/id1565986757?uo=4,,ready,2026-09-25,,
Disciple's Direction,podcast,Hosted by Matt Vance — Christianity,https://podcasts.apple.com/us/podcast/disciples-direction/id1627172245?uo=4,,ready,2026-09-25,,
Year Through the Bible Podcast,podcast,Hosted by Asbury Church — Christianity,https://podcasts.apple.com/us/podcast/year-through-the-bible-podcast/id1867554130?uo=4,,ready,2026-09-25,,
Becoming GQ (God Qualified Men) Podcast,podcast,"Hosted by Mikel A. Walker, Sr — Christianity",https://podcasts.apple.com/us/podcast/becoming-gq-god-qualified-men-podcast/id1881443713?uo=4,,ready,2026-09-25,,
Men in the Arena - Christian Men's Podcast,podcast,Hosted by Jim Ramos — Christianity,https://podcasts.apple.com/us/podcast/men-in-the-arena-christian-mens-podcast/id1144237071?uo=4,,ready,2026-09-25,,"No public email found in time spent researching. Very strong candidate otherwise — #1 ranked Spotify Christian men's podcast, daily, 1074 episodes, real non-profit ministry (Jim Ramos). Worth Collin's own follow-up via their site."
Sunday Sermons,podcast,"Hosted by The Village Church of Irvine: Irvine, CA — Christianity",https://podcasts.apple.com/us/podcast/sunday-sermons/id265570773?uo=4,,ready,2026-09-25,,
Men of Valor Ministries,podcast,Hosted by Men of Valor Ministries — Christianity,https://podcasts.apple.com/us/podcast/men-of-valor-ministries/id1649126082?uo=4,,ready,2026-09-25,,
The Catholic Journeyman,podcast,Hosted by Dave Wade — Christianity,https://podcasts.apple.com/us/podcast/the-catholic-journeyman/id283828340?uo=4,,ready,2026-09-25,,
NBC: After Hours,podcast,Hosted by Noblesville Baptist Church — Christianity,https://podcasts.apple.com/us/podcast/nbc-after-hours/id1665301910?uo=4,,ready,2026-09-25,,
Undaunted.Life: A Man's Podcast by Kyle Thompson,podcast,Hosted by Undaunted.Life — Religion & Spirituality,https://podcasts.apple.com/us/podcast/undaunted-life-a-mans-podcast-by-kyle-thompson/id1326692289?uo=4,,ready,2026-09-25,,
SWAT Radio,podcast,Hosted by Doug McCary — Religion & Spirituality,https://podcasts.apple.com/us/podcast/swat-radio/id1275526307?uo=4,,ready,2026-09-25,,
Various and Sundry Podcast,podcast,Hosted by Matt Harmon and John Sloat — Religion & Spirituality,https://podcasts.apple.com/us/podcast/various-and-sundry-podcast/id1490764645?uo=4,,ready,2026-09-25,,
Search Results on SermonAudio,podcast,Hosted by Various Speakers — Christianity,https://podcasts.apple.com/us/podcast/search-results-on-sermonaudio/id418571257?uo=4,,ready,2026-09-25,,"Not a real single podcast — generic search-results listing, not an actual show."
Berean Baptist Church,podcast,Hosted by Sean E. Harris — Christianity,https://podcasts.apple.com/us/podcast/berean-baptist-church/id413515243?uo=4,,ready,2026-09-25,,
Being Bereans | Acts 17:11,podcast,"Hosted by Sean Harris, Steve Wilson, Mike Boarts, Brian Howell, Jack Farmer — Christianity",https://podcasts.apple.com/us/podcast/being-bereans-acts-17-11/id1783625224?uo=4,,ready,2026-09-25,,
The Frontline Podcast For Christian Men,podcast,Hosted by Matt Knoll — Christianity,https://podcasts.apple.com/us/podcast/the-frontline-podcast-for-christian-men/id1524172196?uo=4,,ready,2026-09-25,,
The Single Man Podcast,podcast,Hosted by Carlton French — Relationships,https://podcasts.apple.com/us/podcast/the-single-man-podcast/id1736070506?uo=4,,ready,2026-09-25,,
National Men's Prayer Call,podcast,Hosted by Nation Men's Prayer Call — Christianity,https://podcasts.apple.com/us/podcast/national-mens-prayer-call/id1553804377?uo=4,,ready,2026-09-25,,
Take Flight,podcast,Hosted by Mark Whittle — Self-Improvement,https://podcasts.apple.com/us/podcast/take-flight/id1339336927?uo=4,,ready,2026-09-25,,
"Connecting with God: Finding The Life You Always Wanted In God | Prayer, Prophetic, Destiny",podcast,"Hosted by Daniel Rogers | Christian Men & Women, Prayer, Prophetic, Destiny — Religion & Spirituality",https://podcasts.apple.com/us/podcast/connecting-with-god-finding-the-life-you-always-wanted/id1771996983?uo=4,,ready,2026-09-25,,
Mens Prayer Conference,podcast,Hosted by Mens Prayer Conferencee — Christianity,https://podcasts.apple.com/us/podcast/mens-prayer-conference/id1581902854?uo=4,,ready,2026-09-25,,
Acts Daily Devotional Podcast,podcast,Hosted by Grace Church — Christianity,https://podcasts.apple.com/us/podcast/acts-daily-devotional-podcast/id1893074838?uo=4,,ready,2026-09-25,,
The Crossway Podcast,podcast,Hosted by Crossway — Christianity,https://podcasts.apple.com/us/podcast/the-crossway-podcast/id1457099163?uo=4,lharvey@crossway.org,ready,2026-09-25,,"Crossway press contact (Lauren Harvey) — same as Daily Strength. Active, weekly, 749 reviews at 4.8 stars."
2 Minute Disciple | Daily Faith Journey for Spiritual Growth,podcast,"Hosted by Nick Oyler | Faith Journey Guide & Host of the Daily Devotional Podcast ""2 Minute Disciple"" — Christianity",https://podcasts.apple.com/us/podcast/2-minute-disciple-daily-faith-journey-for-spiritual-growth/id1598029074?uo=4,,ready,2026-09-25,,
The Crosswalk Devotional: A Daily Devotional Christian Podcast,podcast,Hosted by The Crosswalk Devotional: A Daily Devotional Christian Podcast — Christianity,https://podcasts.apple.com/us/podcast/the-crosswalk-devotional-a-daily-devotional/id1473973203?uo=4,,ready,2026-09-25,,
Carpooling with Heroes of the Bible: A Carpooling with Jesus Show | Bible Stories for Kids Devotionals Daily Devotional for,podcast,Hosted by Pastor Justin – Christian Kids Podcast Host & Pastor — Stories for Kids,https://podcasts.apple.com/us/podcast/carpooling-with-heroes-of-the-bible-a/id1842770914?uo=4,,ready,2026-09-25,,
BIG Life Devotional | Daily Devotional for Women,podcast,Hosted by Pamela Crim | Daily Devotional for Women — Christianity,https://podcasts.apple.com/us/podcast/big-life-devotional-daily-devotional-for-women/id1342285788?uo=4,,ready,2026-09-25,,
Morning Mindset Christian Daily Devotional Bible study and prayer,podcast,Hosted by Carey Green — Christianity,https://podcasts.apple.com/us/podcast/morning-mindset-christian-daily-devotional-bible-study/id1322666339?uo=4,,ready,2026-09-25,,
Restoring Warriors Daily Devotional,podcast,Hosted by Sean Nealon — Christianity,https://podcasts.apple.com/us/podcast/restoring-warriors-daily-devotional/id1822273278?uo=4,,ready,2026-09-25,,
Pursuit of Calling | Christian Identity and Growth for Men,podcast,"Hosted by Thomas Carney, Maxwell Leadership Certified Coach — Christianity",https://podcasts.apple.com/us/podcast/pursuit-of-calling-christian-identity-and-growth-for-men/id1700141705?uo=4,,ready,2026-09-25,,
Pursuit of Calling | Christian Identity and Growth for Men,podcast,"Hosted by Thomas Carney, Maxwell Leadership Certified Coach — Christianity",https://podcasts.apple.com/us/podcast/pursuit-of-calling-christian-identity-and-growth-for-men/id1752140105?uo=4,,ready,2026-09-25,,
The Lion Within Us - Leadership for Christian Men,podcast,Hosted by Chris Grainger — Christianity,https://podcasts.apple.com/us/podcast/the-lion-within-us-leadership-for-christian-men/id1600940443?uo=4,,ready,2026-09-25,,
Leadership Formation For Christian Men,podcast,Hosted by Josh Price & Tim Holloway — Christianity,https://podcasts.apple.com/us/podcast/leadership-formation-for-christian-men/id1477121673?uo=4,,ready,2026-09-25,,
The Men's Leadership Community,podcast,Hosted by Men's Leadership Community - Brotherhood of Heroic Leaders — Christianity,https://podcasts.apple.com/us/podcast/the-mens-leadership-community/id1755462095?uo=4,,ready,2026-09-25,,
"Men Who Lead Well | masculinity, insecurity, marriage, dad, faith, husband",podcast,"Hosted by Glenn Broce - Men's Life Coach, Husband and Dad Coach, Leadership Mentor — Christianity",https://podcasts.apple.com/us/podcast/men-who-lead-well-masculinity-insecurity-marriage-dad/id1894071301?uo=4,,ready,2026-09-25,,
Christian Men2Men: Marriage and Leadership God's Way,podcast,Hosted by Lee Mooring — Christianity,https://podcasts.apple.com/us/podcast/christian-men2men-marriage-and-leadership-gods-way/id1820680998?uo=4,,ready,2026-09-25,,
Friday Morning Men's Fellowship,podcast,Hosted by Leadership Ministries — Christianity,https://podcasts.apple.com/us/podcast/friday-morning-mens-fellowship/id1625781698?uo=4,,ready,2026-09-25,,
Christian Podcast for Men | Real Men Connect,podcast,Hosted by Dr. Joe Martin — Christianity,https://podcasts.apple.com/us/podcast/christian-podcast-for-men-real-men-connect/id1072876705?uo=4,,ready,2026-09-25,,
The Milestone to Manhood Podcast,podcast,Hosted by David and Steven Arms — Parenting,https://podcasts.apple.com/us/podcast/the-milestone-to-manhood-podcast/id1716779501?uo=4,,ready,2026-09-25,,
The Brotherhood Podcast,podcast,Hosted by Craig & Colton — Christianity,https://podcasts.apple.com/us/podcast/the-brotherhood-podcast/id1844490529?uo=4,,ready,2026-09-25,,
InHaus Podcast,podcast,Hosted by InHaus Podcast — Christianity,https://podcasts.apple.com/us/podcast/inhaus-podcast/id1504173678?uo=4,,ready,2026-09-25,,
The Struggles We Grow From,podcast,Hosted by Sydney Prince — Christianity,https://podcasts.apple.com/us/podcast/the-struggles-we-grow-from/id1469713343?uo=4,,ready,2026-09-25,,
Gird Up! Podcast,podcast,Hosted by Gird Up! Podcast — Christianity,https://podcasts.apple.com/us/podcast/gird-up-podcast/id1330423877?uo=4,,ready,2026-09-25,,
Community Baptist Church,podcast,Hosted by Pastor Joe Fant — Christianity,https://podcasts.apple.com/us/podcast/community-baptist-church/id1339146561?uo=4,,ready,2026-09-25,,
Community Baptist Church's Sermons,podcast,Hosted by Community Baptist — Christianity,https://podcasts.apple.com/us/podcast/community-baptist-churchs-sermons/id1528333422?uo=4,,ready,2026-09-25,,
The PodCatechist,podcast,Hosted by Baylor Griffin — Christianity,https://podcasts.apple.com/us/podcast/the-podcatechist/id1766141775?uo=4,,ready,2026-09-25,,
Throwing Mountains,podcast,Hosted by Mike Hatch & Chris Bolinger — Self-Improvement,https://podcasts.apple.com/us/podcast/throwing-mountains/id1584970534?uo=4,,ready,2026-09-25,,
Altar'd Manhood,podcast,Hosted by Altared Manhood — Christianity,https://podcasts.apple.com/us/podcast/altard-manhood/id1761560534?uo=4,,ready,2026-09-25,,
Rooted in Logos,podcast,Hosted by Rooted in Logos — Society & Culture,https://podcasts.apple.com/us/podcast/rooted-in-logos/id1569810142?uo=4,,ready,2026-09-25,,
Grace Enough Podcast,podcast,Hosted by Amber Cullum — Christianity,https://podcasts.apple.com/us/podcast/grace-enough-podcast/id1451341449?uo=4,,ready,2026-09-25,,
Sound of Sanity Archives,podcast,Hosted by Church of the King — Christianity,https://podcasts.apple.com/us/podcast/sound-of-sanity-archives/id1714749125?uo=4,,ready,2026-09-25,,
Mortification of Spin,podcast,Hosted by Alliance of Confessing Evangelicals — Religion & Spirituality,https://podcasts.apple.com/us/podcast/mortification-of-spin/id613483893?uo=4,,ready,2026-09-25,,
FOR MEN ONLY,podcast,Hosted by Faith Alive Family Church — Self-Improvement,https://podcasts.apple.com/us/podcast/for-men-only/id1579730122?uo=4,,ready,2026-09-25,,
Building Faith and Family Podcast,podcast,Hosted by Steve Demme — Christianity,https://podcasts.apple.com/us/podcast/building-faith-and-family-podcast/id1775246424?uo=4,,ready,2026-09-25,,
Faith and Family Trailblazer Podcast,podcast,Hosted by Digital Trailblazer — Kids & Family,https://podcasts.apple.com/us/podcast/faith-and-family-trailblazer-podcast/id1734827163?uo=4,,ready,2026-09-25,,
Brotherhood Forged | Christian Men's Community & Podcast,podcast,Hosted by Joey Koontz and Paul Bengel — Relationships,https://podcasts.apple.com/us/podcast/brotherhood-forged-christian-mens-community-podcast/id1809974129?uo=4,,ready,2026-09-25,,
Brotherhood Forged | Christian Men's Community & Podcast,podcast,Hosted by Joey Koontz and Paul Bengel — Relationships,https://podcasts.apple.com/us/podcast/brotherhood-forged-christian-mens-community-podcast/id1809795329?uo=4,,ready,2026-09-25,,
Faith & Family Bible Podcast with Steve Wood,podcast,Hosted by Steve Wood — Christianity,https://podcasts.apple.com/us/podcast/faith-family-bible-podcast-with-steve-wood/id1335684816?uo=4,,candidate,2026-09-25,,
The Culture War Podcast with Tim Pool,podcast,Hosted by Timcast Media — Society & Culture,https://podcasts.apple.com/us/podcast/the-culture-war-podcast-with-tim-pool/id1674019695?uo=4,,candidate,2026-09-25,,"Not a fit — political commentary, not devotional/faith content."
Mormon Stories Podcast,podcast,Hosted by Dr. John Dehlin — Religion & Spirituality,https://podcasts.apple.com/us/podcast/mormon-stories-podcast/id312094772?uo=4,,candidate,2026-09-25,,"Not a fit — different faith tradition, often exit/critical-story format."
The Victor Davis Hanson Show,podcast,Hosted by Victor Davis Hanson and Jack Fowler — Politics,https://podcasts.apple.com/us/podcast/the-victor-davis-hanson-show/id1570380458?uo=4,,candidate,2026-09-25,,Not a fit — political commentary podcast.
Last Podcast On The Left,podcast,Hosted by The Last Podcast Network — True Crime,https://podcasts.apple.com/us/podcast/last-podcast-on-the-left/id437299706?uo=4,,candidate,2026-09-25,,Not a fit — true crime/comedy podcast.
The Victor Davis Hanson Show,podcast,Hosted by Victor Davis Hanson and Jack Fowler — Politics,https://podcasts.apple.com/us/podcast/the-victor-davis-hanson-show/id1570380458?uo=4,,candidate,2026-09-25,,Not a fit — political commentary podcast.
Last Podcast On The Left,podcast,Hosted by The Last Podcast Network — True Crime,https://podcasts.apple.com/us/podcast/last-podcast-on-the-left/id437299706?uo=4,,candidate,2026-09-25,,Not a fit — true crime/comedy podcast.
Fireside Fatherhood,podcast,"Hosted by Max Gangestad, Matt Snyder, and Carson Gardner — Christianity",https://podcasts.apple.com/us/podcast/fireside-fatherhood/id1846238799?uo=4,,candidate,2026-09-25,,
Men's Bible Study,podcast,Hosted by The Grove Community Church — Christianity,https://podcasts.apple.com/us/podcast/mens-bible-study/id1764984621?uo=4,,candidate,2026-09-25,,
My Family Thinks I'm Crazy,podcast,Hosted by Mark Steeves Jr — Philosophy,https://podcasts.apple.com/us/podcast/my-family-thinks-im-crazy/id1540529469?uo=4,,candidate,2026-09-25,,
Manhood Journey Blog,blog,"Christian blog for dads — communication, faith, leadership, marriage, overcoming failure",https://manhoodjourney.org/blog/,,ready,2026-09-25,,
The Redeemed Blog,blog,"Men's ministry blog — financial troubles, relationships, addiction, anxiety, brokenness",https://theredeemed.com/blog/,,ready,2026-09-25,,
Man in the Mirror,blog,"Men's discipleship blog — rest, integrity, spiritual growth, family devotion",https://maninthemirror.org/category/blog/,,ready,2026-09-25,,
Becoming Men Blog,blog,Equipping and empowering men to become who God created them to be,https://www.thebecomingmen.com/blog,,ready,2026-09-25,,
Desiring God,blog,John Piper's ministry — celebrating God is most glorified when we are most satisfied in Him,https://www.desiringgod.org/articles,,ready,2026-09-25,,
Tim Challies,blog,"Christian blogger, author, book reviewer — faith, ministry, reading",https://www.challies.com/,,ready,2026-09-25,,
The Catholic Gentleman Blog,blog,"Catholic men's blog — virtue, holiness, true masculinity. 148K Facebook followers",https://catholicgentleman.com/blog/,,ready,2026-09-25,,
Gary Thomas Blog,blog,Bestselling author — bringing people closer to Christ and closer to others,https://garythomas.com/blog-closer-to-christ/,,ready,2026-09-25,,
David's Coffee Stains,blog,Christian men's blog with daily devotional-style posts,https://davidscoffeestains.com/,,ready,2026-09-25,,
Real Men Connect Blog,blog,Christian men connecting through faith and real-life topics,https://realmenconnect.com/blog/,,ready,2026-09-25,,
Thoughts About God,blog,Daily Christian devotionals by male and female authors — inspiring relationship with God,https://thoughts-about-god.com/blog/,,ready,2026-09-25,,
Christianity Today,blog,Largest Christian media outlet — thoughtful biblical perspectives on faith and culture,https://www.christianitytoday.com/,,ready,2026-09-25,,
The Gospel Coalition,blog,"Reformed Christian blog — theology, church, culture, reviews",https://www.thegospelcoalition.org/,,ready,2026-09-25,,
Relevant Magazine,blog,"Faith, culture, and intentional living for a new generation",https://relevantmagazine.com/,,ready,2026-09-25,,
Church Leaders,blog,Practical leadership and ministry resources for pastors and church leaders,https://churchleaders.com/,,ready,2026-09-25,,
Crosswalk,blog,"Christian living articles — faith, family, entertainment, devotionals",https://www.crosswalk.com/,,ready,2026-09-25,,
iBelieve,blog,Christian women and men — faith inspiration and spiritual growth articles,https://www.ibelieve.com/,,ready,2026-09-25,,
Frank Viola Blog,blog,"Author and speaker — reimagining church, Christ-centered spirituality",https://www.frankviola.org/,,ready,2026-09-25,,
Summit Life with J.D. Greear,blog,Pastor J.D. Greear — gospel-centered teaching and resources,https://jdgreear.com/blog/,,ready,2026-09-25,,
John Mark Comer,blog,Author of Ruthless Elimination of Hurry — practicing the way of Jesus,https://johnmarkcomer.com/,,ready,2026-09-25,,
Mark Batterson Blog,blog,"Author and pastor — spiritual growth, prayer, wild goose chase faith",https://markbatterson.com/,,ready,2026-09-25,,
Paul David Tripp,blog,"Christian counselor and author — daily grace, everyday life",https://www.paultripp.com/articles,,ready,2026-09-25,,
Matt Chandler / The Village Church Blog,blog,"Reformed pastor — gospel, community, mission",https://www.thevillagechurch.net/blog,,ready,2026-09-25,,
Art of Manliness,blog,"Men's lifestyle blog with faith-adjacent content — skills, character, virtue",https://www.artofmanliness.com/,,ready,2026-09-25,,
Catholic Men's Fellowship of California,blog,"Catholic men's ministry — conferences, spiritual growth, brotherhood",https://catholicmensfellowship.com/,,ready,2026-09-25,,
The Pour Over,newsletter,"Christian newsletter — neutral news through a Christian lens, massive readership",https://www.thepourover.org/,,ready,2026-09-25,,
ERLC,newsletter,Ethics and Religious Liberty Commission — SBC public policy and cultural engagement,https://erlc.com/,,ready,2026-09-25,,
Faithwire,newsletter,Christian news and culture — digital media reaching millions monthly,https://www.faithwire.com/,,ready,2026-09-25,,
Christian Post,newsletter,"Major Christian news site — faith, politics, culture, entertainment",https://www.christianpost.com/,,ready,2026-09-25,,
Baptist Press,newsletter,Official news service of the Southern Baptist Convention,https://www.baptistpress.com/,,ready,2026-09-25,,
World Magazine,newsletter,Christian news magazine — reporting from a biblical worldview,https://wng.org/,,ready,2026-09-25,,
Breakpoint with John Stonestreet,newsletter,Colson Center — worldview commentary and cultural engagement,https://www.breakpoint.org/,,ready,2026-09-25,,
BibleGateway Blog,newsletter,Bible reading resources and devotional content — massive user base,https://www.biblegateway.com/blog/,,ready,2026-09-25,,
Logos Bible Software Blog,newsletter,Bible study tools and resources — tech-savvy Christian audience,https://www.logos.com/grow/,,ready,2026-09-25,,
YouVersion Blog,newsletter,Bible app with 600M+ installs — Bible reading community,https://www.bible.com/blog,,ready,2026-09-25,,
Ligonier Ministries,newsletter,R.C. Sproul's ministry — Reformed theology and devotional resources,https://www.ligonier.org/,,ready,2026-09-25,,
Proverbs 31 Ministries,newsletter,Lysa TerKeurst's ministry — devotionals and Bible study for women and families,https://proverbs31.org/,,ready,2026-09-25,,
The Bible Project,youtube,"Animated Bible explainer videos — 7M+ subscribers, massive reach",https://www.youtube.com/@bibleproject,,ready,2026-09-25,,
Bishop Robert Barron,youtube,"Catholic theologian — brief commentaries on faith and culture, 3.6M subscribers",https://www.youtube.com/@BishopBarron,,ready,2026-09-25,,
Joseph Prince,youtube,Gospel of grace teaching — 1.4M YouTube subscribers,https://www.youtube.com/@JosephPrince,,ready,2026-09-25,,
Steven Furtick / Elevation Church,youtube,Powerful sermons on faith and personal growth — millions of views,https://www.youtube.com/@elevationchurch,,ready,2026-09-25,,
Allen Parr / The BEAT,youtube,Bible teaching for everyday life — apologetics and practical faith,https://www.youtube.com/@thebaborr,,ready,2026-09-25,,
Mike Winger,youtube,In-depth Bible teaching and apologetics — 1M+ subscribers,https://www.youtube.com/@MikeWinger,,ready,2026-09-25,,
Ruslan KD,youtube,"Christian commentary on culture, music, and faith — 800K+ subscribers",https://www.youtube.com/@RuslanKD,,ready,2026-09-25,,
Gospel Simplicity,youtube,Austin Suggs — exploring different Christian traditions thoughtfully,https://www.youtube.com/@GospelSimplicity,,ready,2026-09-25,,
DLM Christian Lifestyle,youtube,Bible study and daily Christian lifestyle content,https://www.youtube.com/@DLMChristianLifestyle,,ready,2026-09-25,,
Living Waters / Ray Comfort,youtube,Evangelism and apologetics — street witnessing and gospel content,https://www.youtube.com/@LivingWaters,,ready,2026-09-25,,
Through the Word,youtube,Audio Bible guide — helping people read through the entire Bible,https://www.youtube.com/@throughtheword,,ready,2026-09-25,,
Bible Study Tools,youtube,Salem Web Network — Bible study resources and devotionals,https://www.youtube.com/@BibleStudyTools,,ready,2026-09-25,,
Whaddo You Meme,youtube,Christian apologetics and meme culture — engaging younger audience,https://www.youtube.com/@whaddoyoumeme,,ready,2026-09-25,,
Sean McDowell,youtube,"Apologetics, theology, and culture — son of Josh McDowell",https://www.youtube.com/@SeanMcDowell,,ready,2026-09-25,,
Abide - Bible Sleep Meditations,youtube,Guided Bible meditations for sleep — peaceful Scripture engagement,https://www.youtube.com/@AbideMeditation,,ready,2026-09-25,,
Marcus Stanley (@marcusstanley),influencer,"Christian influencer — 1.5M followers, Bible verses and sit-down videos",https://www.instagram.com/marcusstanley/,,ready,2026-09-25,,
Mike Malagies (@mikemalagies),influencer,"Christian music and faith content — 404K followers, Bible verses",https://www.instagram.com/mikemalagies/,,ready,2026-09-25,,
Austin Blanchfill (@austinblanchfill),influencer,"Young Christian creator — scripture and encouragement, 149K followers",https://www.instagram.com/austinblanchfill/,,ready,2026-09-25,,
Sean Johnson (@godlovesasinner),influencer,"Motivational quotes and memes — 340K followers, daily encouragement",https://www.instagram.com/godlovesasinner/,,ready,2026-09-25,,
Truly Live For God (@trulyliveforgod),influencer,Faceless Christian encouragement account — 119K followers,https://www.instagram.com/trulyliveforgod/,,ready,2026-09-25,,
Rashawn Copeland (@hypesir),influencer,Gospel-sharing joy-spreader — street evangelism content,https://www.instagram.com/hypesir/,,ready,2026-09-25,,
Tim Tebow (@timtebow),influencer,"Athlete, author, philanthropist — massive Christian following",https://www.instagram.com/timtebow/,,ready,2026-09-25,,
Jacob Petersen,influencer,TikTok Christian creator — prayer and Bible study tool collaborations,https://www.tiktok.com/@jacobpetersen,,ready,2026-09-25,,
Kirby Minnick (@kirbyisaboss),influencer,Young faith influencer sharing through hardship testimony,https://www.instagram.com/kirbyisaboss/,,ready,2026-09-25,,
Christian Anthem of Hope (@christiananthemofhope),influencer,Faith organization amplifying hope for those battling brokenness,https://www.instagram.com/christiananthemofhope/,,ready,2026-09-25,,
Iron Sharpens Iron,ministry,Men's ministry network — equipping men's ministry leaders nationwide,https://ironsharpensiron.net/,,ready,2026-09-25,,
Promise Keepers,ministry,"Iconic men's ministry — conferences, resources, community",https://promisekeepers.org/,,ready,2026-09-25,,
Every Man Ministries,ministry,Stephen Arterburn — helping men live with integrity,https://everymanministries.com/,,ready,2026-09-25,,
National Coalition of Ministries to Men,ministry,Network connecting men's ministry leaders across denominations,https://ncmm.org/,,ready,2026-09-25,,
Band of Brothers / Life.Church,ministry,Life.Church men's resources — community and accountability,https://www.life.church/men/,,ready,2026-09-25,,
men's Fraternity / Authentic Manhood,ministry,Church-based men's curriculum — biblical manhood,https://www.authenticmanhood.com/,,ready,2026-09-25,,
Ransomed Heart / John Eldredge,ministry,"Wild at Heart author — men's hearts, adventure, spiritual warfare",https://www.ransomedheart.com/,,ready,2026-09-25,,
Right Now Media,ministry,Netflix of Christian video content — Bible studies and teaching,https://www.rightnowmedia.org/,,ready,2026-09-25,,
Dwell Bible App,app,"Audio Bible app — listen to Scripture, complementary to Selah's reading focus",https://dwellapp.io/,,ready,2026-09-25,,
Lectio 365,app,24-7 Prayer devotional app — daily prayer and Bible engagement,https://www.lectio365.com/,,ready,2026-09-25,,
Pray.com,app,Prayer and faith content platform — massive reach in Christian space,https://pray.com/,,ready,2026-09-25,,
Glorify App,app,Christian meditation and devotion app — daily faith practices,https://glorify-app.com/,,ready,2026-09-25,,
Hallow App,app,Catholic prayer and meditation app — daily spiritual practices,https://hallow.com/,,ready,2026-09-25,,
Church Tech Today,blog,Technology resources for churches — app reviews and digital ministry,https://churchtechtoday.com/,,ready,2026-09-25,,
The Church Digital,blog,Digital ministry strategy and tools for churches,https://thechurch.digital/,,ready,2026-09-25,,
Tithe.ly Blog,blog,Church technology and giving platform — church leader audience,https://get.tithe.ly/blog,,ready,2026-09-25,,
MinistryTech Magazine,blog,Technology solutions for churches and ministries,https://ministrytechmagazine.com/,,ready,2026-09-25,,
Reading Religion,blog,Academic book reviews — religion and theology,https://readingreligion.org/,,ready,2026-09-25,,
The Babylon Bee,blog,"Christian satire news — massive readership, culture-engaged audience",https://babylonbee.com/,,ready,2026-09-25,,
Christ and Pop Culture,blog,Faith and popular culture intersection — thoughtful Christian audience,https://christandpopculture.com/,,ready,2026-09-25,,
Mere Orthodoxy,blog,Christian thought and culture — theology meets everyday life,https://mereorthodoxy.com/,,ready,2026-09-25,,
The Anxious Bench,blog,Patheos blog — history and current events in Christianity,https://www.patheos.com/blogs/anxiousbench/,,ready,2026-09-25,,
Our Daily Bread,blog,Daily devotional ministry — millions of readers worldwide,https://odb.org/,,ready,2026-09-25,,
In Touch Ministries,blog,Charles Stanley's ministry — daily devotionals and Bible teaching,https://www.intouch.org/,,ready,2026-09-25,,
Today in the Word / Moody Bible Institute,blog,Daily Bible devotional from Moody — theologically grounded,https://todayintheword.org/,,ready,2026-09-25,,
Back to the Bible,blog,Bible teaching ministry — daily devotionals and Scripture engagement,https://backtothebible.org/,,ready,2026-09-25,,
